name,code,lat,lon,elev_m,basin,n_lithics,h_river_m,geomorph
Haibacun,HBC,25.996633,100.519594,1498,Binchuan,2,158,hilltop
Zhaizishan,ZZS,25.982106,100.534583,1378,Binchuan,2,33,T3
Wuguiqing,WGQ,26.000158,100.521861,1542,Binchuan,1,187,hilltop
Dapingdi_1,DPD_1,26.000183,100.539139,1359,Binchuan,2,25,T3
Dapingdi_2,DPD_2,26.000781,100.537964,1380,Binchuan,1,38,T3
Yanjianqiao,YJQ,25.958808,100.529994,1406,Binchuan,4,48,T3
Zhouxiyingliangzi,ZXYLZ,25.828756,100.534858,1511,Binchuan,2,40,T3
Zhongjialiangzi,ZJLZ,25.90205,100.469906,1652,Binchuan,2,30,T3
Wayaowan,WYW,25.899875,100.492933,1722,Binchuan,1,150,hilltop
Nanjingzhuang,NJZ,25.893153,100.473317,1644,Binchuan,1,30,T3
Qingguangshan,QGS,25.906292,100.455903,1676,Binchuan,2,46,T3
Niunitang,NNT,25.890139,100.460303,1664,Binchuan,2,58,T4
Futianzhuang,FTZ,25.885031,100.462503,1666,Binchuan,2,73,T4
Laojianshan,LJS,25.881156,100.467436,1649,Binchuan,2,60,T4
Huoshaopo,HSP,25.8758,100.4704,1625,Binchuan,2,40,T3
Tongfodiancun,TFDC,25.863269,100.481789,1620,Binchuan,4,53,T4
Mianhualiangzi,MHLZ,25.884217,100.484767,1635,Binchuan,10,55,T4
Mianhuadi,MHD,25.880883,100.48995,1626,Binchuan,3,46,T3
Shitouwan,STW,25.878192,100.500475,1617,Binchuan,2,37,T3
Jiancaowan,JCW,25.869431,100.489644,1620,Binchuan,1,55,T4
Baifen,BF,25.872558,100.488281,1599,Binchuan,1,40,T3
Caifengcun,CFC,25.835678,100.518689,1521,Binchuan,8,51,T4
Songping,SP,25.977167,100.446722,1726,Heqing,21,69,T3
Dazhuang,DZ,26.004883,100.434336,1624,Heqing,11,43,T2
Tianhua Cave,THC,26.036861,100.460806,1805,Heqing,64,35,T3
Longtan,LT,26.029722,100.415,1540,Heqing,36,40,T2
Guanshan,GS,26.036722,100.410583,1578,Heqing,35,68,T2
