"Assemblage","Material","r_used","p_avail","D","Selection"
"SC Quina scraper","Andesite",0.0240963855421687,0,1,"Selected (preferred)"
"SC Quina scraper","Trachyte",0.957831325301205,0.275053304904051,0.967141531575787,"Selected (preferred)"
"SC Quina scraper","Sandstone",0.0180722891566265,0.697228144989339,-0.984142051482495,"Avoided"
"SC Quina scraper","Quartz",0,0.00639658848614072,-1,"Avoided"
"SC Quina scraper","Mudstone",0,0.0213219616204691,-1,"Avoided"
"LT Quina scraper","Hornfel",0.0188679245283019,0,1,"Selected (preferred)"
"LT Quina scraper","Trachyte",0.981132075471698,0.275053304904051,0.985512942894042,"Selected (preferred)"
"LT Quina scraper","Sandstone",0,0.697228144989339,-1,"Avoided"
"LT Quina scraper","Quartz",0,0.00639658848614072,-1,"Avoided"
"LT Quina scraper","Mudstone",0,0.0213219616204691,-1,"Avoided"
