"Group","Material","n","total","percent"
"Basin (available)","Trachyte",129,469,27.5053304904051
"Basin (available)","Sandstone",327,469,69.7228144989339
"Basin (available)","Quartz",3,469,0.639658848614073
"Basin (available)","Mudstone",10,469,2.13219616204691
"Basin (available)","Andesite",0,469,0
"Basin (available)","Hornfel",0,469,0
"SC Quina scraper","Trachyte",159,166,95.7831325301205
"SC Quina scraper","Sandstone",3,166,1.80722891566265
"SC Quina scraper","Quartz",0,166,0
"SC Quina scraper","Mudstone",0,166,0
"SC Quina scraper","Andesite",4,166,2.40963855421687
"SC Quina scraper","Hornfel",0,166,0
"LT Quina scraper","Trachyte",52,53,98.1132075471698
"LT Quina scraper","Sandstone",0,53,0
"LT Quina scraper","Quartz",0,53,0
"LT Quina scraper","Mudstone",0,53,0
"LT Quina scraper","Andesite",0,53,0
"LT Quina scraper","Hornfel",1,53,1.88679245283019
